,problem_id,problem_code,assistment_id,problem_set_id,problem_set_type,problem_set_name,curriculum,grade_or_subject,unit,link,skill_codes,skill_names,problem_type,problem_body,attempts,correct_count,percent_correct,first_cwa,first_cwa_count,second_cwa,second_cwa_count,third_cwa,third_cwa_count,answer
362506,958455.0,PRAYKTA,634756.0,PSANFG6,, 8.1 Volumes of Cylinders,Textbook Curricula,Big Ideas Learning,Grade 8: Blue (2014),https://app.assistments.org/find/lv/lesson/328651/332719,,,old_algebra,"<p>Page 338 #12</p>
<p>Simplify your answer.&nbsp;</p>
<p>(Do not include units 'gal' in your answer)</p>",53.0,4.0,7.5,804.2,7.0,6029,4.0,803.8,4.0,6032
330952,1988141.0,PRABSHRB,1377548.0,PSABVMZ6,Practice Problems (Section B),5.6 Section B Practice Problems: Add and Subtract Fractions with Unlike Denominators,Open Up Resources,Grade 5,Unit 6 - More Decimal and Fraction Operations,https://app.assistments.org/find/lv/lesson/366726/1470078,5.NF.A.2,Solve Word Problems Involving Addition/Subtraction of Fractions,open_response,<p>Explain or show your reasoning.&nbsp;</p>,124.0,56.0,45.2,,,,,,,
24822,1622585.0,PRABHKTU,1141220.0,PSA9MPC,,2-10 Change Expressed as a Percent: Key Concept/Practice & Problem Solving,Textbook Curricula,Pearson (Prentice-Hall),HS: Algebra I,https://app.assistments.org/find/lv/lesson/329644/903714,,,numeric,<p>Page 150 #47</p>,9.0,4.0,44.4,4.2,4.0,64.75,1.0,,,21
342563,2037577.0,PRABTD77,1403956.0,PSABT2BB,"Ready, Set, Go","Math III.7 Lesson 3 Getting on the Right Wavelength (HSF-BF.B.3, HSF-BF.B.4.c(+), HSF-TF.B.5, HSF-TF.B.7(+))",Open Up Resources,Math III,"Unit 7 - Trigonometric Functions, Equations, and Identities",https://app.assistments.org/find/lv/lesson/363244/1422312,HSF.TF.B.5,Choose Trigonometric Functions to Model Periodic Phenomena with  Given Properties,choose_1,"<p>Match each trigonometric representation with an equivalent representation. Then, check your answers with a graphing calculator. (The scale on the vertical axis is&nbsp;<span class=""no-wrap""><span class=""latex-expression inline-latex""><img class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=36ceaaefae93239be30a19d9700d9ee2&amp;cw=10&amp;ch=13&amp;cb=12"" width=""10"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn data-semantic-type=&uml;number&uml; data-semantic-role=&uml;integer&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-speech=&uml;1&uml;&raquo;1&laquo;/mn&raquo;&laquo;/math&raquo;"" /></span>.</span>&nbsp;The scale on the horizontal axis is&nbsp;<span class=""no-wrap""><span class=""latex-expression inline-latex""><img class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=6d0bbe6d4fb0539e4e1251adce8b291f&amp;cw=35&amp;ch=38&amp;cb=24"" width=""35"" height=""38"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mfenced&raquo;&laquo;mfrac&raquo;&laquo;mi&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;/mfenced&raquo;&laquo;/math&raquo;"" /></span>.</span>)</p>
<p>&nbsp;</p>
<table style=""height: 42px; width: 712px;"">
<tbody>
<tr>
<td style=""width: 252.413px;"">
<p>Which&nbsp;representation matches with</p>
<p>&nbsp;</p>
</td>
<td style=""width: 280.587px;""><img src=""/images/assistments/489028.jpg"" alt="""" width=""274"" height=""185"" /></td>
<td style=""width: 154px;"">?&nbsp;</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<table style=""height: 572px; width: 708px;"" border=""2"">
<tbody>
<tr>
<td style=""width: 60px; text-align: center;"">1.</td>
<td style=""width: 178.775px; text-align: center;""><img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -3px;"" src=""/pluginwiris_engine/app/showimage?formula=50a647e4b7b51374e25545e5e9f72467&amp;cw=91&amp;ch=15&amp;cb=12"" width=""91"" height=""15"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;y&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8208;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mi&raquo;sin&laquo;/mi&raquo;&laquo;mi&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;/math&raquo;"" /></td>
<td style=""width: 60px; text-align: center;"">4.&nbsp;</td>
<td style=""width: 355px; text-align: center;""><img src=""/images/assistments/489025.jpg"" alt="""" width=""271"" height=""207"" /></td>
</tr>
<tr>
<td style=""width: 60px; text-align: center;"">2.</td>
<td style=""width: 178.775px; text-align: center;""><img id=""mce_2"" class=""Wirisformula"" style=""max-width: none; vertical-align: -14px;"" src=""/pluginwiris_engine/app/showimage?formula=a0cda55935aca63c0a5aa8360a555165&amp;cw=81&amp;ch=15&amp;cb=12"" width=""81"" height=""15"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;y&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#8208;&laquo;/mo&raquo;&laquo;mi&raquo;sin&laquo;/mi&raquo;&laquo;mi&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;/math&raquo;"" /></td>
<td style=""width: 60px; text-align: center;"">5.&nbsp;</td>
<td style=""width: 355px; text-align: center;""><img id=""mce_8"" class=""Wirisformula"" style=""max-width: none; vertical-align: -12px;"" src=""/pluginwiris_engine/app/showimage?formula=39779d9171c693949738672a1f2e0e8f&amp;cw=172&amp;ch=31&amp;cb=19"" width=""172"" height=""31"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;y&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mi&raquo;cos&laquo;/mi&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mi&raquo;&sect;#952;&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mfrac&raquo;&laquo;mi&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/mfrac&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;/math&raquo;"" /></td>
</tr>
<tr>
<td style=""width: 60px; text-align: center;"">3.&nbsp;</td>
<td style=""width: 178.775px; text-align: center;""><img src=""/images/assistments/489026.jpg"" alt="""" width=""269"" height=""203"" /></td>
<td style=""width: 60px; text-align: center;"">6.&nbsp;</td>
<td style=""width: 355px; text-align: center;""><img id=""mce_9"" class=""Wirisformula"" style=""max-width: none; vertical-align: -3px;"" src=""/pluginwiris_engine/app/showimage?formula=23d8acefd00950ec3f6552d629b6e569&amp;cw=154&amp;ch=17&amp;cb=14"" width=""154"" height=""17"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi&raquo;y&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;=&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mi&raquo;cos&laquo;/mi&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mi&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;/math&raquo;"" />&nbsp;</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>",,,,,,,,,,5.
119738,1041723.0,PRA2N3D,696511.0,PSAPQR2,,14.4-14.5 Quiz,Textbook Curricula,Big Ideas Learning,Grade 7: Red (2014),https://app.assistments.org/find/lv/lesson/328625/370442,,,choose_1,<p>Page 662 #10</p>,,,,,,,,,,√1.44
203512,1819509.0,PRABN7S6,1278622.0,PSABESTX,,"Lesson 8: Solve Problems with Rational Numbers (7.NS.A.3,7.EE.B3,7.NS.A.1d,7.NS.A.2c)",Textbook Curricula,Ready,Ready 7,https://app.assistments.org/find/lv/lesson/334124/1057616,,,open_response,<p>Page 69 #5</p>,,,,,,,,,,
373694,1689228.0,PRABJ9Q5,1191108.0,PSABBFD7,Student Facing Tasks,8.6 Lesson 1: Organizing Data (8.SP.A.1),Open Up Resources,Grade 8,Unit 6 - Associations in Data,https://app.assistments.org/find/lv/lesson/355763/958238,8.SP.A.1,Construct & Interpret Scatter Plots ,open_response,"<p>Here is a table of data. Each row shows two measurements of a triangle.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<table style=""height: 255px;"" border=""1"" width=""507"">
<thead>
<tr>
<th style=""text-align: center; width: 245.778px;"" scope=""col"">length of short side (cm)</th>
<th style=""text-align: center; width: 245.778px;"" scope=""col"">length of perimeter (cm)</th>
</tr>
</thead>
<tbody>
<tr>
<td style=""text-align: center; width: 245.778px;"">0.25</td>
<td style=""text-align: center; width: 245.778px;"">1</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">2</td>
<td style=""text-align: center; width: 245.778px;"">7.5</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">6.5</td>
<td style=""text-align: center; width: 245.778px;"">22</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">3</td>
<td style=""text-align: center; width: 245.778px;"">9.5</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">0.5</td>
<td style=""text-align: center; width: 245.778px;"">2</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">1.25</td>
<td style=""text-align: center; width: 245.778px;"">3.5</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">3.5</td>
<td style=""text-align: center; width: 245.778px;"">12.5</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">1.5</td>
<td style=""text-align: center; width: 245.778px;"">5</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">4</td>
<td style=""text-align: center; width: 245.778px;"">14</td>
</tr>
<tr>
<td style=""text-align: center; width: 245.778px;"">1</td>
<td style=""text-align: center; width: 245.778px;"">2.5</td>
</tr>
</tbody>
</table>
<div class=""page-break-after"">&nbsp;</div>
<div class=""page-break-after"">&nbsp;</div>
<div class=""page-break-after"">What do you notice? What do you wonder?</div>
<div class=""page-break-after"">&nbsp;</div>
<div class=""page-break-after"">&nbsp;</div>
<div class=""page-break-after""><span>copied for free from openupresources.org</span></em></span></div>",796.0,100.0,12.6,,,,,,,
274841,2003532.0,PRABSUU3,1387274.0,PSABS6PV,Practice Problems (Section A),2.1 Section A Practice Problems: Add and Subtract Within 20,Kendall Hunt Illustrative Mathematics,Grade 2,"Unit 1 - Adding, Subtracting, and Working with Data",https://app.assistments.org/find/lv/lesson/360487/1396723,2.NBT.B.5,Add & Subtract Within 100 Using Place Value Strategies,numeric,"<p>Find the value of the expression.</p>
<p>&nbsp;</p>
<p><img class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=54b8785415bbdb189404bb1c9f3acfd3&amp;cw=45&amp;ch=13&amp;cb=12"" width=""45"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;/math&raquo;"" /></p>
<p>&nbsp;</p>",29.0,26.0,89.7,6,13.0,,,,,7
277310,1918481.0,PRABQ3F7,1334051.0,PSABPPJK,Practice Problems,Acc6.5 Lesson 4 Comparing Relationships with Tables (7.RP.A.2),Kendall Hunt Illustrative Mathematics,Grade 6 Accelerated,Unit 5 - Proportional Relationships,https://app.assistments.org/find/lv/lesson/356758/1292802,7.RP.A.2a,Identify Proportional Relationships,numeric,"<p>Here is a table that shows the ratio of flour to water in an art paste. Complete the table with values in</p>
<p>equivalent ratios. What value goes in cell B?</p>
<p>&nbsp;</p>
<p><img id=""mce_1"" src=""/images/assistments/439899.jpg"" alt="""" width=""194"" height=""225"" /></p>",350.0,315.0,90.0,1.5,12.0,5,7.0,8,2.0,6
306120,678047.0,PRARNS2,428133.0,PSAGCV3,,Chapter 12 Study Guide and Review,Textbook Curricula,Glencoe McGraw-Hill,"HS: Algebra I (2012,2014)",https://app.assistments.org/find/lv/lesson/328832/181250,,,old_algebra,"<p>Page 813 #10&nbsp;<span>Enter the mean absolute deviation, to the nearest hundredth.</span></p>",,,,,,,,,,13.33
58306,127642.0,PRACKG4,68442.0,PSAKH7,,(7.G.B.6) Surface Area of Cylinders Skill Builder,Skill Builders,Grade 7,(G) Geometry,https://app.assistments.org/find/lv/lesson/328752/8894,7.G.B.6-3,Find the Surface Area of Cylinders,numeric,"<p>The&nbsp;outside of a new&nbsp; Milk storage&nbsp;tank that is&nbsp;cylinder-shaped&nbsp;needs to be painted. Assume that the entire tank&nbsp;outside&nbsp;of the tank&nbsp;must be painted before it is installed.&nbsp; What is the surface area of the storage tank if the tank has a diameter of 8 feet and is 3 feet high?</p>
<p>&nbsp;</p>
<p>&nbsp;Use 3.14 for&nbsp;<img id=""mce_1"" class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=09ba62526ef3f50e1df0e75871148aaf&amp;cw=12&amp;ch=10&amp;cb=9"" alt=""straight pi"" width=""12"" height=""10"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mi mathvariant=&uml;normal&uml;&raquo;&sect;#960;&laquo;/mi&raquo;&laquo;/math&raquo;"" />.</p>
<p>&nbsp;</p>
<p><span style=""color: #000000;"">Do not include units (square inches) in your answer.</span></p>
<p><span style=""color: #000000;"">If there is not enough information to solve, type 0.&nbsp;</span></p>
<p>&nbsp;</p>",29.0,9.0,31.0,0,3.0,75.36,2.0,100.48,1.0,175.84
175700,213597.0,PRADYJM,109812.0,PSARST,,(7.EE.A.2) Recognizing Equivalent Expressions Skill Builder,Skill Builders,Grade 7,(EE) Expressions and Equations ,https://app.assistments.org/find/lv/lesson/328753/13935,7.EE.A.2,Understand Equivalent Expressions in Context,choose_1,"<p>Determine&nbsp;if the following expressions are equivalent.</p>
<p>&nbsp;</p>
<table style=""height: 102px;"" border=""2"" width=""234"">
<tbody>
<tr style=""height: 25px;"">
<td style=""width: 224px; text-align: center; height: 25px;""><span style=""font-size: 12pt;""><img id=""mce_6"" class=""Wirisformula"" style=""max-width: none; vertical-align: -2px;"" src=""/pluginwiris_engine/app/showimage?formula=f099b27ba7d9a5c99a5eeed48191ae4f&amp;cw=194&amp;ch=16&amp;cb=14"" alt=""undefined"" width=""194"" height=""16"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;3&laquo;/mn&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mn&raquo;6&laquo;/mn&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;1&laquo;/mn&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;42&laquo;/mn&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;(&laquo;/mo&raquo;&laquo;mo&raquo;-&laquo;/mo&raquo;&laquo;mn&raquo;2&laquo;/mn&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;)&laquo;/mo&raquo;&laquo;/math&raquo;"" /></span></td>
</tr>
<tr style=""height: 25px;"">
<td style=""width: 224px; text-align: center; height: 25px;""><span style=""font-size: 12pt;"">&nbsp;<img class=""Wirisformula"" style=""max-width: none; vertical-align: -1px;"" src=""/pluginwiris_engine/app/showimage?formula=04ca4f872b256521acd233acee5c3a18&amp;cw=76&amp;ch=13&amp;cb=12"" alt=""13 x space plus space 45"" width=""76"" height=""13"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml;&raquo;&laquo;mn&raquo;13&laquo;/mn&raquo;&laquo;mi&raquo;x&laquo;/mi&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mo&raquo;+&laquo;/mo&raquo;&laquo;mo&raquo;&sect;#160;&laquo;/mo&raquo;&laquo;mn&raquo;45&laquo;/mn&raquo;&laquo;/math&raquo;"" /></span></td>
</tr>
</tbody>
</table>",400.0,282.0,70.5,"Yes, the two expressions are equivalent",114.0,,,,,"No, the two expressions are not equivalent"
359508,1028301.0,PRA2BK2,686456.0,PSAPN6B,,Problem 1.4 Are Steel-Frame Coasters Faster Than Wood-Frame Coasters?,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329168/368901,,,open_response,<p>Compare.</p>,,,,,,,,,,
378454,1800927.0,PRABNTAW,1266617.0,PSABD54J,,8.6 Changes in Dimensions Independent Practice (8.G.9),Textbook Curricula,Glencoe McGraw-Hill,Grade 8: Course 3 (2016),https://app.assistments.org/find/lv/lesson/332101/1038663,,,numeric,<p>What would <em>y</em> be?</p>,36.0,29.0,80.6,5.23,1.0,3.5,1.0,5.65,1.0,5.25
2372,1165880.0,PRA5UCS,790980.0,PSAUGTG,,11.2 Graphing Rational Functions,Textbook Curricula,Big Ideas Learning,HS: Purple Algebra I (2014),https://app.assistments.org/find/lv/lesson/328660/512715,,,open_response,"<p>Page 556 #20</p>
<p>Describe the domain and range.</p>",,,,,,,,,,
119311,1151255.0,PRA5EKK,778698.0,PSATM3K,, Problem 3.2 Investing for the Future: Growth Rates,Textbook Curricula,Pearson (Prentice-Hall),CMP 3,https://app.assistments.org/find/lv/lesson/329191/487019,,,old_algebra,"<p>Page 45 #B3</p>
<p>v = ____</p>",82.0,66.0,80.5,2500(1.04^n),3.0,2500(1.06^n),1.0,1.04(2500^n),1.0,"2,500(1.04^n)"
390705,1991044.0,PRABSKYC,1379688.0,PSABVNEM,Practice Problems (Section D),4.6 Section D Practice Problems: Let’s Put It to Work: Problem Solving with Large Numbers,Open Up Resources,Grade 4,Unit 6 - Multiplying and Dividing Multi-Digit Numbers,https://app.assistments.org/find/lv/lesson/366584/1470464,4.OA.A.3-1,Solve Multi-Step Word Problems Using All Four Operations,open_response,"<p>Explain or show your reasoning.&nbsp;&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>Submit your work using the tools below.</p>",42.0,0.0,0.0,,,,,,,
459202,2020281.0,PRABS438,1395184.0,PSABT4ER,Exit Ticket,"Math II.10 Lesson 2 Favorite Flavors (HSS-CP.A.4, HSS-CP.B.6)",Open Up Resources,Math II,Unit 10 - Probability,https://app.assistments.org/find/lv/lesson/363216/1424340,HSS.CP.A.4,"Construct, Interpret & Apply Knowledge of Two-Way Frequency Tables in Relation to Probability",numeric,"<div class=""c-problem"" data-problem-type=""Written Response"">
<h4 class=""c-problem__number-hed""><img class=""Wirisformula"" style=""max-width: none; vertical-align: -4px;"" src=""/pluginwiris_engine/app/showimage?formula=e12a7b6374d5ecbb79c4fb4d5f294bfd&amp;cw=247&amp;ch=18&amp;cb=14"" width=""247"" height=""18"" align=""middle"" data-mathml=""&laquo;math xmlns=&uml;http://www.w3.org/1998/Math/MathML&uml; data-semantic-type=&uml;appl&uml; data-semantic-role=&uml;simple function&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;0,4&uml; data-semantic-content=&uml;5,0&uml; data-semantic-speech=&uml;upper P left parenthesis Less than one hour vertical bar 7 th grade right parenthesis&uml;&raquo;&laquo;mi data-semantic-type=&uml;identifier&uml; data-semantic-role=&uml;simple function&uml; data-semantic-font=&uml;italic&uml; data-semantic-annotation=&uml;clearspeak:simple&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;6&uml; data-semantic-operator=&uml;appl&uml;&raquo;P&laquo;/mi&raquo;&laquo;mo data-semantic-type=&uml;punctuation&uml; data-semantic-role=&uml;application&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;6&uml; data-semantic-added=&uml;true&uml; data-semantic-operator=&uml;appl&uml;&raquo;&sect;#8289;&laquo;/mo&raquo;&laquo;mrow data-semantic-type=&uml;fenced&uml; data-semantic-role=&uml;leftright&uml; data-semantic-=&uml;&uml; data-semantic-children=&uml;2&uml; data-semantic-content=&uml;1,3&uml; data-semantic-parent=&uml;6&uml;&raquo;&laquo;mo stretchy=&uml;false&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;open&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;4&uml; data-semantic-operator=&uml;fenced&uml;&raquo;(&laquo;/mo&raquo;&laquo;mtext data-semantic-type=&uml;text&uml; data-semantic-role=&uml;unknown&uml; data-semantic-font=&uml;normal&uml; data-semantic-annotation=&uml;clearspeak:unit&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;4&uml;&raquo;Less than one hour|7th grade&laquo;/mtext&raquo;&laquo;mo stretchy=&uml;false&uml; data-semantic-type=&uml;fence&uml; data-semantic-role=&uml;close&uml; data-semantic-=&uml;&uml; data-semantic-parent=&uml;4&uml; data-semantic-operator=&uml;fenced&uml;&raquo;)&laquo;/mo&raquo;&laquo;/mrow&raquo;&laquo;/math&raquo;"" /></h4>
</div>
<div class=""c-problem"" data-problem-type=""Written Response"">&nbsp;</div>",99.0,54.0,54.5,14/26,38.0,26/35,12.0,14/76,10.0,14/35
